Nß lote;T°tulo;Autor;Editorial;A§o;P£blico;Idioma;P†ginas;Resumen_navarra;genero_fix;IA_Tags;Geografia_Autor;Genero_Principal_IA;Subgeneros_Limpios_IA
259C;La ballena;Davies, Benji;Andana;2014;Infantil - 6 a§os;Castellano;32;"NoÇ y su padre viven en una casa a la orilla del mar. El padre es pescador y por eso NoÇ, durante el d°a, solo tiene la compa§°a de seis gatos. Una ma§ana, despuÇs de una tormenta, NoÇ encuentra una peque§a ballena varada en la playa y decide llev†rsela a casa para cuidarla. NoÇ quiere mantener a su nueva mascota en secreto, pero no sabe cu†nto tiempo podr† esconderla de su padre.

Esta es la historia de un ni§o solitario, una ballena varada en la playa y una amistad que cambiar† sus vidas para siempre.";masculino;literatura infantil, †lbum ilustrado, relaci¢n padre-hijo, animales marinos, soledad infantil;Europa, Reino Unido;Infantil;µlbum Ilustrado, Gesti¢n Emocional/Valores
1152N;Cuando el tiempo no tenga ya memoria;Bellido, Mafalda;Primer acto;2024;Adulto;Castellano;37;"Gui¢n de una obra teatral representada por la compa§°a de teatro ""La Zafirina"". A travÇs de una correspondencia conocemos la vida y relaci¢n de dos mujeres durante el final del verano de 1970. Estas cartas se convierten en el refugio de Rosa y Antonia para intentar hacer frente al contexto en el que les ha tocado vivir y las dificultades que tienen para seguir adelante. La literatura, la poes°a y la condici¢n de ser mujer se mezclan en esta relaci¢n epistolar que trata sobre el proceso de empoderamiento y el cambio vital de sus vidas. A§os despuÇs en la actualidad, estas cartas aparecen en una biblioteca. Virgina, la bibliotecaria, las encuentra en un libro y r†pidamente llama a Luisa, una amiga periodista, con la intenci¢n de que las lea.";femenino;teatro contempor†neo, epistolario, mujeres, memoria hist¢rica, empoderamiento;Europa, Espa§a;Teatro;Novela Hist¢rica, Feminismo/LGTBIQ+, Social/Pol°tico
1151N;El mar y lo dem†s;MarquÇs, Juan;Denonartean;2025;Adulto;Castellano;65;"Dibuja lo cotidiano y apunta reflexiones a vuelapluma. Sus poemas tiendenˇa la concisi¢n que aparca lo superfluo. Suelen ser breves, algunos tienen alma de haik£ o de impromptu y otros aires de aforismo, con unas gotas de iron°a y paradoja. XIX Premio Internacional de Poes°a ""Ciudad de Pamplona""";masculino;poes°a breve, haik£, aforismo, iron°a, vida cotidiana;Local;Poes°a;
1150N;Hondarreko berorik geratzen bada;Satrustegi  AndrÇs, I§igo;Denonartean;2025;Adulto;Euskera;41;"Bere poemetan egunerokotasunezko paisaietatik abiatuta gai unibertsalak eta sentipen sakonak transmititzea lortzen du mezu zuzen eta sendoak helaraziz irakurleari. ""Iru§a Hiria"" X. Nazioarteko Poesia Sariketa";masculino;poes°a contempor†nea, euskera, sentimientos universales, paisaje cotidiano, mensaje directo;Local;Poes°a;
1149;Utzi kontatzen;Halse Anderson, Laurie;Txalaparta;2025;Juvenil;Euskera;250;ìAltxa ezazu ahotsa: entzun egin nahi dugu zer duzun esatekoî. Merryweather High Institutuan hasi denerako, Melindak badaki hau guztia gezur handi bat dela, institutuko beste zentzugabekeria bat. Ez du lagunik, baztertu egin baitute uda bukaerako festa bat zapuztu zuelako poliziari deitzeagatik. Orain, ez dio inork hitz egiten, are gutxiago entzuten. Denbora pasa ahala, Melinda gero eta bakartuago dago, eta hitz egiteari uzten dio ia erabat. Arte-klasea da haren kontsolamendu bakarra, eta, azkenean, arte-proiektu baten bidez lortzen du aurre egitea zoritxarreko festa hartan gertatu zenari.;femenino;literatura juvenil, trauma, silencio, instituto, arte;AmÇrica, Estados Unidos;Juvenil;Psicol¢gico/÷ntimo, Acoso Escolar/Bullying
1148N;Txerriak eta loreak;Arretxe, Jon;Erein;2025;Adulto;Euskera;165;Kokagunea hiri handi bateko lunpen auzo baztertua izan beharrean, egilea bera bizi izandako hiru herrietan garatuko da trama: Basaurin, Gasteizen eta Arbizun. Eta protagonistak jende txiro, etorkin mespretxatu edo kaleko prostituta zaurgarriak izan beharrean, bertoko jatorriko biztanle akomodatuak izango dira, zortzi abizen euskalduneko jendea, eskrupulu gutxirekin ezkutuko negozio aitorrezinetan diharduena. Arbizuko hestebete-lantegi batean gertatzen den txistor lapurreta misteriotsua da abiapuntua, eta hortik aurrera umore klabean idatzitako trama beltza dator, oso beltza, erritmo bizikoa, elkarrizketa ugarikoa. Txerriak eta loreak ezohiko nobela da, laburra eta pertsonaia oso originalez hornitua: Zuri§e Ruiz de Gordoa gasteiztar mandatugile bitxia, Gabriel Abrisketa basauritar enpresari ustela, Fermin Bakaikoa arbizuar txistorgile iluna... Harridura, dibertimendua eta ustekabeak ziurtatuta daude.;masculino;novela negra, humor, Pa°s Vasco, crimen, di†logos;Local;Narrativa;Novela Negra/Misterio, Humor/S†tira
1146N;El misterio de la turista que muri¢ dos veces: un caso de Lucio Garza;Holgado, Javier;Espasa;2025;Adulto;Castellano;707;Al poco de iniciar las vacaciones, Lucio entabla amistad con unaˇjoven turista, bella y misteriosa, a la que parece perseguir unˇpasado tr†gico. Cuando d°as despuÇs la muchacha aparece muerta, se le practica la autopsia, se confirma que ha sido asesinada y se descubre suˇverdadera identidad: se trataba deˇuna de las personas m†s famosas y populares de Espa§a, que hab°a desaparecido unos a§os antes de la faz de la tierra sin volver a saberse de ella. Hasta ahora. Por supuesto, la familia al completo se lanza de cabeza a la investigaci¢n de un suceso sin medir las peligrosas consecuencias. ®QuÇ oscuro pasado arrastraba la joven? ®QuiÇn quer°a silenciarla? En esta novela de misterio, los secretos enterrados saldr†n a la luz, poniendo a prueba la astucia de Garza en una carrera contrarreloj.;masculino;Novela de misterio, investigaci¢n criminal, identidad oculta, narrativa espa§ola contempor†nea, suspense.;Europa, Espa§a;Narrativa;Novela Negra/Misterio
1147N;La muy catastr¢fica visita al zoo;Dicker, Jîel;Alfaguara;2025;Adulto;Castellano;221;"Es v°spera de Navidad y la visita de la clase de JosÇphine al zoo ha sido una cat†strofe. Nadie sabe quÇ ha pasado exactamente y los padres de la ni§a est†n dispuestos a descubrirlo. Mientras la investigaci¢n avanza, comprendemos poco a poco que una cat†strofe nunca llega sola, que las apariencias enga§an y que los acontecimientos pueden tomar un giro que nadie imagina. La muy catastr¢fica visita al zoo nos mantiene en vilo hasta el final; es una novela divertida y emocionante, repleta de gui§os sobre nuestra sociedad, sobre la democracia, la educaci¢n inclusiva, el rol de los padres y de los maestros. ÆDe las cosas que me cuentan los lectores, lo que m†s me emociona son las lecturas compartidas en familia, entre amigos o en los clubes de lectura. Por eso he intentado escribir un libro que pudieran leer y compartir todos los lectores, sean como sean y estÇn donde estÇn, de 7 a 120 a§os. Con vuestros hijos, vuestra pareja, vuestros padres, vuestros vecinos o vuestros compa§eros de trabajo. Un libro con el que os entren ganas de leer y de que lean otros, sin distinciones. Y que nos permita reencontrarnosØ.Joâl Dicker";masculino;novela contempor†nea, intriga, cr°tica social, literatura familiar, educaci¢n;Europa, Sin especificar;Narrativa;Novela Negra/Misterio, Social/Pol°tico, Educaci¢n/Divulgaci¢n
1145N;La £ltima princesa;Leceaga, Alaitz;Planeta;2025;Adulto;Castellano;380;Lyon, 1992. Nora Cort†zar es la jefa del departamento de Ciencias del Comportamiento de Interpol, donde imparte clases sobre psicolog°a criminal, pero sobre todo es conocida por ser laˇhija de un famoso asesino, Balbea. Obsesiva, anal°tica y con una memoria extraordinaria, Nora es una mujer £nica con unaˇcapacidad especial para comprender el mal. El regreso de Nora a Lemoniz para asistir al funeral de su madre coincide con elˇhallazgo de un cad†ver en la central nuclear. En un pueblo marcado por los secretos, Nora sospecha que tras el asesinato hay m†s de lo que parece, y para resolverlo unir† fuerzas con su primer amor, a quien la une unˇdoloroso pasado. Una central nuclear abandonada, una plataforma mar°tima y los paisajes imponentes de la costa vasca son los escenarios de esteˇthrillerˇatmosfÇricoˇen el que se cruzan siniestros ritualesˇantiguos, leyendasˇy oscuros secretosˇfamiliares.;femenino;thriller psicol¢gico, novela negra, Pa°s Vasco, crimen, secretos familiares;Local;Narrativa;Novela Negra/Misterio, Psicol¢gico/÷ntimo, Social/Pol°tico
1144N;Un ciervo en la carretera;Mart°nez Mar°n, Alberto;Libros.com;2019;Adulto;Castellano;179;En esta recopilaci¢n de cuentos el lector va saltando de una Çpoca a otra llevado de la mano por sus protagonistas, unas veces personajes an¢nimos, otras, figuras hist¢ricas. En cada pieza del mosaico que compone Un ciervo en la carretera brilla sobre todo el lenguaje, rico y muy pl†stico, que hace de los relatos, incluso de los m†s breves, cuadros llenos de colorido minuciosamente detallados. Los relatos, recogidos en esta y otras antolog°as, han sido premiados en m†s de sesenta cert†menes literarios.;masculino;narrativa breve, cuentos, variaci¢n temporal, lenguaje pl†stico, literatura espa§ola contempor†nea;Europa, Espa§a;Narrativa;Relatos/Cuentos
1143N;Al faro;Woolf, Virginia;La mar de f†cil;2023;Adulto;Castellano;132;Los Ramsay, acompa§ados de unos amigos, pasan el verano en su casa cerca del mar en la isla de Skye, en Escocia. La se§ora Ramsay, muy querida por todos, reflexiona sobre su vida y la de su familia. Feliz de estar rodeada de sus hijos y amigos. Pero pasan los a§os, y cuando deciden volver a la isla, todo ha cambiado. Al faro es una novela que habla de amor, amistad, ilusi¢n, vida, muerte... Es una muestra de las relaciones humanas, que nunca son perfectas.;femenino;modernismo, flujo de conciencia, relaciones familiares, Escocia, siglo XX;Europa, Reino Unido - Isla de Skye;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
1142N;Porcus;Zubizarreta, Patxi;Edelvives;2024;Juvenil;Castellano;90;Tres cuerpos momificados -dos humanos y un oso- aparecen en un glaciar de los Alpes suizos. Y Bereket, una joven experta en glaciares, tendr† que desentra§ar el misterio. A travÇs de apuntes parroquiales, peri¢dicos y cr¢nicas, deber† descubrir quÇ tr†gico suceso les ocurri¢ a Gaxuxa y Michel, una pareja que muri¢ congelada intentando llegar al Vaticano para solicitar el bautismo p¢stumo de su bebÇ. Premio Nacional de Literatura Infantil y Juvenil 2023;masculino;novela juvenil, misterio, Alpes suizos, glaciares, narrativa documental;Europa, Suiza - Alpes;Juvenil;Novela Negra/Misterio, Conflictos BÇlicos/Historia
258C;Pol°tica para principiantes;Frith, Alex;Usborne;2018;Infantil - 12 a§os;;127;"Una magn°fica introducci¢n al apasionante tema de la pol°tica para toda la familia.
Con ayuda de vi§etas, c¢mics, diagramas y otros recursos tan divertidos como originales, este libro responde a muchas preguntas sobre la pol°tica actual y explica los diferentes sistemas pol°ticos que se han desarrollado a travÇs de la historia.
®En quÇ consisten las elecciones? ®QuiÇn decide quÇ es legal? ®Cu†les son los efectos de la inmigraci¢n? ®QuiÇn puede convertirse en presidente de un gobierno? ®Podemos fiarnos de la prensa? ®QuÇ es la libertad de expresi¢n?
Estas son solo algunas de las muchas cuestiones tratadas en este estupendo volumen para ni§os y adultos que fomentar† animadas charlas familiares.";masculino;divulgaci¢n pol°tica, literatura infantil, sistemas de gobierno, educaci¢n c°vica, recursos visuales;Europa, Reino Unido;Infantil;Educaci¢n/Divulgaci¢n, C¢mic
1141N;Pleibak;Amuriza, Miren;Susa;2025;Adulto;Euskera;154;"Nerabe paisaia rural-poligonero bat, institutuko korridore atenporalak, Morora busean jaistea eta belodromora motorrean igotzea, Hemendik At, Chenoa, Su Ta, lokaleko maromoak eta txosnetako Goi Gerlariak, Largo eta Beda Agarreko sukaldean, erantzun gabeko perdidak, behor hezurrak, istripu bat. Umezaroa elkarren itzalean zabuka igaro ostean, gaur da eguna kalean gurutzatu eta batak bestea ignoratzen dutena. Distantzia horrek sorrarazten dion amorrazio retroaktiboak sakatuta zuzentzen zaio Jone Pollyri; neskatotan, ahoak nola-hala estali eta eskugaina eskugainaren kontra igurtziaz musukatzen zuen txaleteko bizilagunari. Ezer gertatu ez zenean gertatu zen guztia jasotzen du Miren Amurizaren bigarren nobelak, egonezin primario bat, partekatua izan zen bide baten adarkatzea. Sasoi baten erretratua da kontakizun hau, belaunaldi bat ordezkatzen duten erreferentzia ugarirekin eta zikinak jandako hizkuntza batekin eraikia.";femenino;narrativa vasca, adolescencia, memoria generacional, entorno rural, relaciones interpersonales;Local;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
